api_id,api_name,api_category,endpoint,version,owner_team,status,service_name
1,Okta Verify Service,IAM,https://okta.internal/api/v1/authn/467,v1.4,FinTech-Core,Deprecated,okta
2,User Profile Core API,User,https://internal.platform/services/user-profile/436,v1.4,Identity-IAM,Active,internal
3,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest,0.0.1-SNAPSHOT,Comms-Team,Inactive,snowflake
4,Google Maps Geocode API,Maps,https://maps.googleapis.com/maps/api/geocode/json,test-version,Growth-Marketing,Active,maps
5,PayPal Checkout API,Payment,https://api-m.paypal.com/v2/checkout/orders/106,Unknown,Comms-Team,Deprecated,api-m
6,Stripe Payments API,Payment,https://api.stripe.com/v3/charges,0.0.1-SNAPSHOT,Core-Platform,Active,api
7,Snowflake Ingestion API,Unknown,https://snowflake.internal/api/v1/ingest/845,v3,SecOps-Compliance,Active,snowflake
8,Compliance Engine #49,Compliance,https://internal.api/v1/compliance/action,Unknown,FinTech-Core,Active,internal
9,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send/552,v1.0.0,SecOps-Compliance,Active,api
10,Snowflake Ingestion API,Analytics,https://snowflake.internal/api/v1/ingest/660,v1.4,Unknown,Active,snowflake
11,SHIPPING ENGINE #58,Shipping,https://internal.api/v1/shipping/action,v1.0.0,FinTech-Core,Deprecated,internal
12,Stripe Payments API,Payment,https://api.stripe.com/v3/charges/435,v1.0.0,Logistics,Active,api
13,Twilio SMS Gateway API,Notifications,https://api.twilio.com/2010-04-01/accounts/426,v2.1.0,Identity-IAM,Active,api
14,User Engine #11,Unknown,https://internal.api/v1/user/action,v1.0.0,Data-Eng,Deprecated,internal
15,Payment Engine #53,Payment,https://internal.api/v1/payment/action,v2.1.0,Logistics,Inactive,internal
16,HubSpot Contacts Service,CRM,https://api.hubapi.com/crm/v3/objects/contacts,v2.1.0,Logistics,Active,api
17,Twilio SMS Gateway API,Notifications,https://api.twilio.com/2010-04-01/accounts,v2.1.0,Unknown,Active,api
18,User Engine #53,Unknown,https://internal.api/v1/user/action,v1.0.0,Growth-Marketing,Active,internal
19,Notifications Engine #96,Notifications,https://internal.api/v1/notifications/action,v2-beta,Growth-Marketing,Deprecated,internal
20,Notifications Engine #26,Notifications,https://internal.api/v1/notifications/action,v1.4,Growth-Marketing,Active,internal
21,User Profile Core API,User,https://internal.platform/services/user-profile,v1.4,Logistics,Active,internal
22,SENDGRID MAILER SERVICE,Notifications,https://api.sendgrid.com/v3/mail/send,v2-beta,FinTech-Core,Active,api
23,Analytics Engine #89,Unknown,https://internal.api/v1/analytics/action,v1.0.0,FinTech-Core,Inactive,internal
24,Marketing Engine #28,Marketing,https://internal.api/v1/marketing/action,v1.4,FinTech-Core,Active,internal
25,Marketing Engine #91,Unknown,https://internal.api/v1/marketing/action,v1.0.0,Identity-IAM,Deprecated,internal
26,Datadog Telemetry API,Analytics,https://api.datadoghq.com/api/v2/logs,v1.4,Identity-IAM,Active,api
27,Salesforce Leads Service,CRM,https://test.salesforce.com/services/data/v55.0/sobjects,v2.1.0,Unknown,Active,test
28,Marketing Engine #95,Marketing,https://internal.api/v1/marketing/action,v2-beta,Unknown,Inactive,internal
29,Okta Verify Service,Auth,https://okta.internal/api/v1/authn/913,v2-beta,Comms-Team,Active,okta
30,Stripe Payments API,Payment,https://api.stripe.com/v3/charges/231,Unknown,SecOps-Compliance,Active,api
31,Stripe Payments API,Payment,https://api.stripe.com/v3/charges/994,0.0.1-SNAPSHOT,Identity-IAM,Active,api
32,Auth Engine #46,Auth,https://internal.api/v1/auth/action,v2-beta,FinTech-Core,Active,internal
33,Auth0 Login Service,Auth,https://identity.auth0.com/oauth/token,2024-01-01,Data-Eng,Active,identity
34,Shipping Engine #99,Shipping,https://internal.api/v1/shipping/action,0.0.1-SNAPSHOT,Comms-Team,Active,internal
35,Okta Verify API,Auth,https://okta.internal/api/v1/authn/607,v1.4,SecOps-Compliance,Active,okta
36,notifications engine #52,Notifications,https://internal.api/v1/notifications/action,v1.0.0,Comms-Team,Active,internal
37,CRM Engine #26,CRM,https://internal.api/v1/crm/action,v3,Growth-Marketing,Inactive,internal
38,Maps Engine #17,Maps,https://internal.api/v1/maps/action,v1.4,Unknown,Active,internal
39,Shipping Engine #71,Shipping,https://internal.api/v1/shipping/action/{env}/debug_mode,v1.0.0,Data-Eng,Active,internal
40,Stripe Payments API,Payment,https://api.stripe.com/v3/charges,test-version,Identity-IAM,Active,api
41,GDPR PURGE UTILITY SERVICE,Compliance,https://compliance.internal/v1/purge/391,v1.4,Core-Platform,Active,compliance
42,Okta Verify API,Auth,https://okta.internal/api/v1/authn/147,v1.0.0,Identity-IAM,Active,okta
